Date,Cash Value,Holding Value,Total,AMZN,MSFT,NVDA,TSLA,GOOGL,META,AAPL
2013-12-23,2.3422049582005124,18303.56293529272,18305.90514025092,8,3,578,617,10,63,392
2013-12-24,2.3422049582005124,18604.615499138832,18606.957704097033,8,3,578,617,10,63,392
2013-12-26,2.3422049582005124,18707.975650131702,18710.317855089903,8,3,578,617,10,63,392
2013-12-27,2.3422049582005124,18328.763149142265,18331.105354100466,8,3,578,617,10,63,392
2013-12-30,2.3422049582005124,18195.002531945705,18197.344736903906,8,3,578,617,10,63,392
2013-12-31,2.3422049582005124,18268.610825896263,18270.953030854464,8,3,578,617,10,63,392
2014-01-02,2.3422049582005124,18143.06697821617,18145.40918317437,8,3,578,617,10,63,392
2014-01-03,2.3422049582005124,17935.165850937366,17937.508055895567,8,3,578,617,10,63,392
2014-01-06,2.3422049582005124,18040.137674689293,18042.479879647493,8,3,578,617,10,63,392
2014-01-07,2.3422049582005124,18139.859438717365,18142.201643675566,8,3,578,617,10,63,392
2014-01-08,2.3422049582005124,18289.62375563383,18291.96596059203,8,3,578,617,10,63,392
2014-01-09,2.3422049582005124,17961.964767098427,17964.306972056627,8,3,578,617,10,63,392
2014-01-10,2.3422049582005124,17882.639904022217,17884.982108980417,8,3,578,617,10,63,392
2014-01-13,2.3422049582005124,17518.37896192074,17520.72116687894,8,3,578,617,10,63,392
2014-01-14,2.3422049582005124,18703.53466051817,18705.87686547637,8,3,578,617,10,63,392
2014-01-15,2.3422049582005124,18970.468977034092,18972.811181992292,8,3,578,617,10,63,392
2014-01-16,2.3422049582005124,19185.437327861786,19187.779532819986,8,3,578,617,10,63,392
2014-01-17,2.3422049582005124,18897.317612171173,18899.659817129374,8,3,578,617,10,63,392
2014-01-21,2.3422049582005124,19435.016859292984,19437.359064251184,8,3,578,617,10,63,392
2014-01-22,2.3422049582005124,19481.82458180189,19484.16678676009,8,3,578,617,10,63,392
2014-01-23,2.3422049582005124,19609.12002557516,19611.46223053336,8,3,578,617,10,63,392
2014-01-24,2.3422049582005124,19028.761212468147,19031.103417426348,8,3,578,617,10,63,392
2014-01-27,2.3422049582005124,18819.26735138893,18821.60955634713,8,3,578,617,10,63,392
2014-01-28,2.3422049582005124,18675.36454921961,18677.70675417781,8,3,578,617,10,63,392
2014-01-29,2.3422049582005124,18354.747915506363,18357.090120464563,8,3,578,617,10,63,392
2014-01-30,2.3422049582005124,19148.8479449749,19151.1901499331,8,3,578,617,10,63,392
2014-01-31,2.3422049582005124,19191.70660418272,19194.04880914092,8,3,578,617,10,63,392
2014-02-03,2.3422049582005124,18935.155853390694,18937.498058348894,8,3,578,617,10,63,392
2014-02-04,2.3422049582005124,19186.25562542677,19188.59783038497,8,3,578,617,10,63,392
2014-02-05,2.3422049582005124,19023.94010990858,19026.28231486678,8,3,578,617,10,63,392
2014-02-06,2.3422049582005124,19195.238321721554,19197.580526679754,8,3,578,617,10,63,392
2014-02-07,2.3422049582005124,19778.36855608225,19780.71076104045,8,3,578,617,10,63,392
2014-02-10,2.3422049582005124,20272.996023654938,20275.33822861314,8,3,578,617,10,63,392
2014-02-11,2.3422049582005124,20465.50764656067,20467.84985151887,8,3,578,617,10,63,392
2014-02-12,3.2047049701214414,20388.823336601257,20392.02804157138,8,3,576,617,10,63,392
2014-02-13,4.4947049915791135,20879.925484746695,20884.420189738274,8,3,573,617,10,63,392
2014-02-14,6.286705046892224,20807.96050992608,20814.247214972973,8,3,569,617,10,63,392
2014-02-18,8.524204999208507,21071.75333881378,21080.27754381299,8,3,564,617,10,63,392
2014-02-19,11.705704927444515,20580.98586639762,20592.691571325064,8,3,557,617,10,63,392
2014-02-20,15.924454927444515,21271.34066271782,21287.265117645264,8,3,548,617,10,63,392
2014-02-21,15.924454927444515,21105.47707426548,21121.401529192924,8,3,548,617,10,63,392
2014-02-24,15.924454927444515,21613.789517641068,21629.713972568512,8,3,548,617,10,63,392
2014-02-25,15.924454927444515,22728.447744727135,22744.37219965458,8,3,548,617,10,63,392
2014-02-26,15.924454927444515,22831.01837706566,22846.942831993103,8,3,548,617,10,63,392
2014-02-27,15.924454927444515,22934.60234129429,22950.526796221733,8,3,548,617,10,63,392
2014-02-28,15.924454927444515,22565.984780073166,22581.90923500061,8,3,548,617,10,63,392
2014-03-03,15.924454927444515,22750.637130260468,22766.561585187912,8,3,548,617,10,63,392
2014-03-04,15.924454927444515,23072.17544412613,23088.099899053574,8,3,548,617,10,63,392
2014-03-05,15.924454927444515,23178.213867783546,23194.13832271099,8,3,548,617,10,63,392
2014-03-06,15.924454927444515,23118.012867689133,23133.937322616577,8,3,548,617,10,63,392
2014-03-07,15.924454927444515,22769.055675029755,22784.9801299572,8,3,548,617,10,63,392
2014-03-10,15.924454927444515,22607.756298065186,22623.68075299263,8,3,548,617,10,63,392
2014-03-11,15.924454927444515,22375.808598876,22391.733053803444,8,3,548,617,10,63,392
2014-03-12,15.924454927444515,22727.445098161697,22743.369553089142,8,3,548,617,10,63,392
2014-03-13,15.924454927444515,22349.36026275158,22365.284717679024,8,3,548,617,10,63,392
2014-03-14,15.924454927444515,21912.809870123863,21928.734325051308,8,3,548,617,10,63,392
2014-03-17,15.924454927444515,22135.981000304222,22151.905455231667,8,3,548,617,10,63,392
